"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","type","id"
"54",1.04936894351045,0.213198642924593,0.282049408527981,-0.455198989655619,0.659467292080749,-0.00205863764107415,0.0861478531489097,0.83112356078626,-0.153782619316807,0.177923976319811,-0.969060897703495,5,0,50
"55",0.29160413581754,0.985866365225323,-1.14499465291607,-0.499641655214449,1.44615726209713,0.166432935443766,-0.724078996297716,0.325307530149626,-0.34083929215396,0.645391796141298,-0.294486492237198,6,0,51
"56",0.367380616586831,1.63966213024902,-1.89249392319629,-0.277428327420297,0.740849013116926,-0.282877926115807,-1.21726055683044,1.10089211045915,0.719148520589898,-0.0224193750322549,-0.884739097020208,5,0,52
"57",2.26179263581911,0.450942557478663,1.70909346997203,-0.366313658537958,0.361067648281434,-1.46231893770969,-1.83373750749636,0.864844629495366,-1.15141820778162,0.645391796141298,-0.800417296336921,5,0,53
"58",0.215827655048249,1.69909810888754,-1.34885809026522,0.0114489987121009,1.47328450244252,1.12121851625786,-0.0723747913080388,1.26949745400468,0.220330726357494,1.58032743578427,-0.969060897703495,5,0,54
"59",0.443157097356122,1.46135419433346,-0.941131215566919,-0.610748319111525,0.523831090353787,-0.732188787675381,-1.0587379123735,0.999728904331829,1.28031853910135,0.378267327671877,-0.463130093603772,5,0,55
"60",0.0642746935096667,0.27263462156311,-0.0577229870539354,-0.58852698633211,0.469576609663003,-1.18149964923495,-1.19964692966856,0.561355011113371,1.15561409054325,0.0443617420851005,-0.969060897703495,6,0,56
"61",1.20092190504903,0.332070600201628,0.553867324993515,-0.632969651890941,0.605212811389964,-0.619861072285487,-1.09396516669726,1.16833424787736,1.3426707633804,0.712172913258654,-1.13770449907007,5,0,57
"62",0.367380616586831,2.05571398071864,1.16545763704096,-0.721854983008602,1.58179346382409,-0.563697214590541,-0.0371475369842725,0.763681423368047,-0.0914303950377577,1.17964073308014,-1.05338269838678,5,0,58
"63",0.215827655048249,1.04530234386384,-1.07704017379969,-0.699633650229186,0.767976253462318,-1.01300807615011,-1.39339682844928,0.763681423368047,0.968557417706101,0.578610679023943,-0.884739097020208,7,0,59
"64",-0.163054748798206,2.32317588459197,-1.8245394440799,-0.677412317449771,0.659467292080749,-0.956844218455167,-1.0587379123735,0.696239285949834,1.03090964198515,0.244705093437166,-0.631773694970346,5,0,60
"65",-0.0115017872596241,2.26373990595345,-1.8245394440799,-0.0885469987952675,0.79510349380771,-1.46231893770969,-1.81612388033447,0.561355011113371,1.15561409054325,-0.95735501467523,0.295766112545814,5,0,61
"67",0.215827655048249,1.04530234386384,-1.4168125693816,-0.788518981346847,0.605212811389964,-1.06917193384506,-1.32294231980174,0.763681423368047,1.2179663148223,0.311486210554521,-0.800417296336921,5,0,62
"68",-0.466160671875371,2.14486794867642,-1.68863048584714,-0.766297648567432,0.523831090353787,-1.34999122231979,-1.74566937168694,0.561355011113371,1.3426707633804,0.311486210554521,0.127122511179238,5,0,63
"69",1.57980430889549,-0.143417228906514,1.70909346997203,-0.677412317449771,0.469576609663003,-0.170550210725914,-0.864988013592781,0.797402492077153,0.345035174915595,1.71388967001898,0.127122511179238,5,0,64
"70",0.594710058894704,2.14486794867642,-1.8245394440799,-0.699633650229186,0.469576609663003,-1.2376635069299,-1.67521486303941,0.561355011113371,0.719148520589898,2.78238754389667,-0.0415210901873355,6,0,65
"71",0.367380616586831,1.69909810888754,-1.62067600673075,-0.699633650229186,0.523831090353787,-0.844516503065274,-1.53430584574434,0.72996035465894,0.594444072031797,0.0443617420851005,-0.884739097020208,6,0,66
"72",0.367380616586831,1.93684202344161,-0.601358819985002,-0.655190984670356,0.849357974498495,-0.732188787675381,-0.318965571574403,0.561355011113371,0.594444072031797,-0.356324960619032,-0.884739097020208,5,0,67
"73",0.367380616586831,2.05571398071864,-0.669313299101385,-0.699633650229186,0.740849013116926,-0.676024929980434,-0.354192825898169,0.527633942404265,0.532091847752748,-0.356324960619032,-0.884739097020208,5,0,68
"74",0.822039501202577,1.96656001276087,-0.397495382635852,-0.655190984670356,0.740849013116926,-1.06917193384506,-1.25248781115421,1.03344997304094,0.532091847752748,-0.0224193750322549,-1.13770449907007,4,0,69
"75",1.88291023197265,-0.143417228906514,1.50523003262288,-0.566305653552695,1.01212141657085,-0.114386353030967,-0.547942724678884,1.30321852271379,0.345035174915595,1.91423302137105,-0.800417296336921,5,0,70
"76",1.20092190504903,0.391506578840146,2.18477482378671,-0.632969651890941,0.984994176225456,-1.18149964923495,-1.27010143831609,1.37066066013204,1.96619300617091,0.845735147493365,-0.0415210901873355,5,0,71
"78",-0.314607710336788,2.62035577778456,-2.16431183966182,-0.58852698633211,1.28339382002477,-0.900680360760221,-1.48146496425869,0.696239285949834,1.84148855761281,0.111142859202456,0.127122511179238,6,0,72
"79",-0.390384191106079,2.41232985254975,-1.34885809026522,-0.677412317449771,0.79510349380771,-1.01300807615011,-0.600783606164534,0.426470736276946,0.968557417706101,-0.0892004921496103,-0.378808292920485,5,0,73
"80",0.822039501202577,1.66938011956828,-0.805222257334152,-0.788518981346847,0.632340051735357,-0.170550210725914,0.0861478531489097,0.898565698204473,-0.403191516433009,3.91766653489171,-1.22202629975336,4,0,74
"81",-0.769266594952534,0.629250493394217,-0.805222257334152,-0.766297648567432,0.333940407936042,-1.51848279540463,-1.74566937168694,0.426470736276946,1.15561409054325,0.177923976319811,-1.13770449907007,5,0,75
"82",0.443157097356122,0.510378536117181,2.59250169848501,-0.699633650229186,11.049200344366,-0.451369499200647,-0.829760759269015,0.966007835622685,-0.590248189270162,4.9861644087694,-0.969060897703495,5,0,76
"83",0.140051174278958,0.926430386586805,1.0295486788082,-0.677412317449771,0.79510349380771,-0.507533356895594,-0.724078996297716,0.83112356078626,0.843852969148,0.244705093437166,-1.22202629975336,5,0,77
"84",0.0642746935096667,1.93684202344161,-0.397495382635852,-0.721854983008602,9.34018420260628,-0.788352645370327,-1.11157879385915,0.797402492077153,-0.403191516433009,4.05122876912642,-0.969060897703495,5,0,78
"85",-0.693490114183243,-0.262289186183549,1.09750315792458,-0.721854983008602,0.333940407936042,-0.676024929980434,-0.935442522240314,0.460191804986052,1.3426707633804,1.64710855290163,-0.21016469155391,6,0,79
"86",-0.238831229567497,1.22361027977939,-1.14499465291607,-0.632969651890941,0.523831090353787,-0.619861072285487,-1.30532869263986,0.527633942404265,1.15561409054325,0.378267327671877,-0.378808292920485,5,0,80
"87",1.04936894351045,0.866994407948288,-0.261586424403085,-0.699633650229186,1.44615726209713,-0.563697214590541,0.385579514900924,0.898565698204473,-1.83729267485117,9.4604992556322,-0.547451894287059,6,0,81
"88",0.367380616586831,0.866994407948288,-0.397495382635852,-0.699633650229186,0.144049725518295,-1.18149964923495,-1.46385133709681,0.696239285949834,1.03090964198515,0.712172913258654,-0.800417296336921,5,0,82
"89",1.57980430889549,0.27263462156311,0.825685241459048,-0.655190984670356,1.36477554106095,0.222596793138712,0.191829616120209,1.10089211045915,-0.52789596499111,4.58547770606526,-0.884739097020208,5,0,83
"90",-0.163054748798206,1.63966213024902,-1.62067600673075,-0.721854983008602,0.523831090353787,-1.2376635069299,-1.58714672722999,1.10089211045915,1.59207966049661,-0.0224193750322549,-1.30634810043664,5,0,84
"91",0.518933578125413,1.04530234386384,-0.397495382635852,-0.699633650229186,0.605212811389964,0.671907654698286,0.456034023548456,0.628797148531584,0.0332740535203434,0.0443617420851005,-0.884739097020208,5,0,85
"93",1.04936894351045,0.866994407948288,-0.193631945286702,-0.677412317449771,1.44615726209713,-0.619861072285487,0.332738633415274,0.898565698204473,-1.83729267485117,9.66084260698427,-0.631773694970346,5,0,86
"95",-1.67858436418403,4.01710127578973,-1.89249392319629,-0.810740314126262,-0.317113360353373,0.615743797003339,-0.512715470355118,-0.247950637905257,3.27558971603097,-0.356324960619032,-0.0415210901873355,4,0,87
"96",-1.9059138064919,1.52079017297198,-1.0090856946833,-0.610748319111525,0.0355407641367264,-0.732188787675381,-0.142829299955571,-0.450277050159933,3.89911195882148,0.445048444789232,1.98220212621156,6,0,88
"97",-0.314607710336788,2.56091979914604,-2.16431183966182,-0.455198989655619,1.22913933933399,-1.2376635069299,-1.60476035439187,0.662518217240728,1.40502298765946,0.177923976319811,0.127122511179238,5,0,89
"98",-0.163054748798206,0.926430386586805,-0.465449861752235,-0.677412317449771,0.361067648281434,-1.51848279540463,-1.62237398155376,0.595076079822478,0.157978502078445,0.645391796141298,-1.13770449907007,5,0,90
"99",0.29160413581754,3.30386953212751,-1.75658496496352,-0.566305653552695,0.605212811389964,-1.40615508001474,-1.83373750749636,0.72996035465894,1.03090964198515,0.177923976319811,-0.631773694970346,5,0,91
"100",0.670486539663995,1.19389229046014,-0.941131215566919,-0.699633650229186,0.632340051735357,-0.956844218455167,-1.39339682844928,0.898565698204473,0.469739623473696,0.378267327671877,-1.30634810043664,6,0,92
"101",0.822039501202577,1.5802261516105,-0.125677466170319,-0.655190984670356,0.740849013116926,-1.06917193384506,-1.12919242102103,0.898565698204473,1.0932618662642,0.511829561906588,-0.294486492237198,6,0,93
"102",0.443157097356122,0.926430386586805,-0.125677466170319,-0.699633650229186,0.496703850008395,-1.2376635069299,-1.62237398155376,0.460191804986052,0.532091847752748,0.177923976319811,-0.125842890870623,6,0,94
"104",0.670486539663995,1.37220022637569,-0.669313299101385,-0.655190984670356,0.55095833069918,-1.01300807615011,-0.864988013592781,0.72996035465894,0.407387399194647,-0.155981609266966,-1.13770449907007,5,0,95
"105",-0.0115017872596241,0.866994407948288,-0.533404340868619,-0.632969651890941,0.361067648281434,-1.40615508001474,-1.37578320128739,0.493912873695158,0.656796296310849,-0.356324960619032,-0.969060897703495,5,0,96
"107",0.443157097356122,0.391506578840146,2.45659274025225,-0.744076315788017,11.1305820654022,-0.676024929980434,-0.794533504945249,0.932286766913579,-0.902009310665414,5.18650776012146,-1.05338269838678,5,0,97
"108",-0.769266594952534,1.69909810888754,-0.0577229870539354,-0.744076315788017,0.849357974498495,-0.844516503065274,-0.882601640754664,0.797402492077153,1.46737521193851,1.71388967001898,-1.05338269838678,5,0,98
"109",0.594710058894704,-0.0839812502679958,1.4372755535065,-0.566305653552695,0.930739695534672,-0.676024929980434,-0.600783606164534,1.03344997304094,0.906205193427052,1.78067078713634,-0.800417296336921,6,0,99
"110",0.670486539663995,2.62035577778456,1.36932107439011,-0.677412317449771,1.77168414624183,0.391088366223552,0.685011176652937,0.797402492077153,-0.0914303950377577,1.04607849884543,-1.05338269838678,5,0,100
"111",0.443157097356122,1.28304625841791,-0.873176736450535,-0.721854983008602,1.28339382002477,-1.01300807615011,-1.18203330250668,0.628797148531584,-0.216134843595859,2.64882530966196,-0.884739097020208,5,0,101
"112",0.897815981971868,1.63966213024902,-1.55272152761437,-0.632969651890941,0.740849013116926,-1.06917193384506,-0.107602045631805,0.628797148531584,-0.465543740712061,0.845735147493365,-0.631773694970346,5,0,102
"113",0.897815981971868,1.52079017297198,-1.48476704849799,-0.632969651890941,0.767976253462318,-0.900680360760221,-0.0547611641461557,0.628797148531584,-0.465543740712061,0.845735147493365,-0.631773694970346,5,0,103
"114",2.18601615504981,-0.202853207545031,0.825685241459048,-0.610748319111525,0.632340051735357,-0.451369499200647,-1.19964692966856,1.43810279755025,0.594444072031797,0.91251626461072,-0.716095495653634,6,0,104
"116",1.65558078966478,0.332070600201628,-0.0577229870539354,-0.632969651890941,0.903612455189279,-0.956844218455167,-0.917828895078431,0.696239285949834,-0.964361534944466,0.645391796141298,-0.0415210901873355,6,0,105
"117",0.822039501202577,1.16417430114088,-0.261586424403085,-0.699633650229186,0.55095833069918,-1.06917193384506,-1.30532869263986,1.10089211045915,1.03090964198515,0.511829561906588,-0.463130093603772,6,0,106
"118",0.443157097356122,1.28304625841791,-1.34885809026522,-0.677412317449771,0.686594532426141,-1.29382736462485,-1.51669221858246,0.83112356078626,0.906205193427052,-0.222762726384321,-0.969060897703495,6,0,107
"119",1.20092190504903,1.22361027977939,-1.89249392319629,-0.632969651890941,1.69030242520566,-0.900680360760221,-1.02351065804973,0.561355011113371,-0.0914303950377577,0.445048444789232,0.295766112545814,6,0,108
"120",-0.163054748798206,2.05571398071864,-1.62067600673075,-0.721854983008602,1.09350313760703,-0.451369499200647,-0.442260961707585,0.460191804986052,0.719148520589898,0.0443617420851005,-1.13770449907007,6,0,109
"121",0.0642746935096667,4.31428116898232,-1.55272152761437,-0.744076315788017,3.2908096055838,-1.12533579154001,-0.442260961707585,0.561355011113371,0.469739623473696,0.244705093437166,-1.30634810043664,5,0,110
"123",0.0642746935096667,2.0854319700379,-2.16431183966182,-0.566305653552695,0.496703850008395,-1.51848279540463,-1.78089662601071,1.16833424787736,1.65443188477566,-0.0892004921496103,-1.13770449907007,5,0,111
"124",0.594710058894704,2.17458593799568,-2.16431183966182,-0.54408432077328,0.632340051735357,-1.06917193384506,-1.41101045561116,1.03344997304094,1.3426707633804,-0.0224193750322549,-0.884739097020208,5,0,112
"125",0.443157097356122,0.926430386586805,-1.0090856946833,-0.766297648567432,0.686594532426141,-0.507533356895594,-0.213283808603104,0.493912873695158,1.03090964198515,-0.356324960619032,-0.884739097020208,5,0,113
"126",1.35247486658761,1.63966213024902,-1.89249392319629,-0.699633650229186,2.42273791453125,-0.170550210725914,-0.424647334545702,1.30321852271379,-0.403191516433009,1.11285961596279,-0.969060897703495,5,0,114
"127",0.746263020433285,5.85961661358378,-2.16431183966182,-0.744076315788017,0.659467292080749,-1.51848279540463,-1.79851025317259,0.628797148531584,1.90384078189186,-0.289543843501676,0.295766112545814,5,0,115
"128",0.670486539663995,5.85961661358378,-2.16431183966182,-0.721854983008602,0.686594532426141,-1.51848279540463,-1.79851025317259,0.628797148531584,1.96619300617091,-0.356324960619032,0.295766112545814,5,0,116
"129",0.594710058894704,1.46135419433346,-1.07704017379969,-0.721854983008602,0.225431446554472,-1.51848279540463,-1.72805574452506,0.561355011113371,1.2179663148223,2.5820441925446,-0.0415210901873355,7,0,117
"130",-0.845043075721826,0.213198642924593,-1.14499465291607,-0.721854983008602,0.415322128972218,-1.34999122231979,-1.67521486303941,0.325307530149626,1.2179663148223,0.244705093437166,-0.969060897703495,5,0,118
"131",0.594710058894704,2.38261186323049,1.64113899085565,-0.677412317449771,1.66317518486026,-0.00205863764107415,0.350352260577157,0.763681423368047,0.0956262777993954,0.845735147493365,-0.969060897703495,5,0,119
"132",-1.22392547956828,0.926430386586805,-1.55272152761437,-0.610748319111525,-0.208604398971804,-0.732188787675381,-0.266124690088754,-0.281671706614364,2.52736302468236,0.645391796141298,2.06652392689485,5,0,120
"134",-0.466160671875371,0.926430386586805,-2.09635736054544,-0.788518981346847,0.0897952448275108,-0.732188787675381,-1.55191947290622,0.22414432402227,1.0932618662642,0.311486210554521,-0.631773694970346,6,0,121
"135",0.518933578125413,4.13597323306676,-1.8245394440799,-0.632969651890941,0.740849013116926,-0.956844218455167,-1.49907859142058,0.460191804986052,-0.0290781707587058,0.111142859202456,-0.547451894287059,6,0,122
"136",0.897815981971868,2.38261186323049,-1.4168125693816,-0.699633650229186,0.903612455189279,-0.788352645370327,-0.900215267916548,0.662518217240728,-0.216134843595859,1.91423302137105,-0.800417296336921,5,0,123
"137",0.822039501202577,2.20430392731494,-1.14499465291607,-0.721854983008602,0.876485214843887,-1.12533579154001,-1.09396516669726,0.763681423368047,0.0332740535203434,1.58032743578427,-0.884739097020208,5,0,124
"138",-0.0115017872596241,0.421224568159405,0.282049408527981,-0.677412317449771,0.659467292080749,-0.956844218455167,-1.21726055683044,0.898565698204473,1.59207966049661,0.712172913258654,-1.13770449907007,5,0,125
"139",0.443157097356122,1.28304625841791,-0.873176736450535,-0.655190984670356,0.659467292080749,-0.844516503065274,-0.160442927117455,0.561355011113371,0.656796296310849,0.0443617420851005,-0.884739097020208,5,0,126
"140",0.443157097356122,1.28304625841791,-0.873176736450535,-0.677412317449771,0.659467292080749,-0.732188787675381,-0.107602045631805,0.561355011113371,0.594444072031797,0.0443617420851005,-0.884739097020208,5,0,127
"143",-1.52703140264544,-0.024545271629478,-2.16431183966182,-0.721854983008602,-0.181477158626412,-0.170550210725914,-0.900215267916548,-0.989814149505673,2.83912414607762,1.71388967001898,2.90974193372772,6,0,128
"144",-0.693490114183243,0.27263462156311,-1.62067600673075,-0.744076315788017,0.252558686899865,-1.51848279540463,-1.65760123587752,0.291586461440483,0.719148520589898,0.311486210554521,-0.969060897703495,5,0,129
"146",0.670486539663995,1.93684202344161,1.57318451173926,-0.721854983008602,1.63604794451487,0.110269077748819,0.473647650710339,0.763681423368047,-0.34083929215396,0.578610679023943,-0.969060897703495,5,0,130
"147",-1.0723725180297,1.99627800208012,-2.02840288142905,-0.721854983008602,0.822230734153102,-0.507533356895594,-0.354192825898169,-0.0456242256506189,1.96619300617091,-0.0892004921496103,-0.463130093603772,5,0,131
"148",0.29160413581754,0.866994407948288,-0.397495382635852,-0.766297648567432,4.86418954561655,-1.12533579154001,-0.459874588869468,0.763681423368047,-0.714952637828263,1.78067078713634,-1.05338269838678,5,0,132
"149",-0.238831229567497,0.866994407948288,-1.48476704849799,-0.610748319111525,0.469576609663003,-1.01300807615011,-1.48146496425869,0.460191804986052,1.2179663148223,0.311486210554521,-0.294486492237198,6,0,133
"150",0.746263020433285,0.332070600201628,0.825685241459048,-0.499641655214449,0.876485214843887,-1.06917193384506,-1.25248781115421,0.999728904331829,1.90384078189186,0.511829561906588,-0.0415210901873355,6,0,134
